scenario,demand_change_pct,lead_time_change_pct,transport_cost_change_pct,stockout_rate,fill_rate,projected_inventory_aed,projected_transport_cost_aed,revenue_at_risk_aed
Baseline (no change),0,0,0,0.139,0.861,2827125.84,460689.23,344046.58
Demand +10%,10,0,0,0.3013,0.6987,3109838.42,506758.15,820614.38
Demand +30% (max),30,0,0,0.636,0.364,3675263.59,598896.0,2046864.72
Demand -20% (max),-20,0,0,0.0042,0.9958,2261700.67,368551.38,8282.25
Lead time +50% (max),0,50,0,0.886,0.114,4240688.76,460689.23,2193627.22
Lead time -30% (max),0,-30,0,0.0009,0.9991,1978988.09,460689.23,2135.81
Transport cost +40% (max),0,0,40,0.139,0.861,2827125.84,644964.92,344046.58
Combined stress (worst case),30,50,40,0.9912,0.0088,5512895.39,838454.4,3190335.03
Combined relief (best case),-20,-30,-20,0.0,1.0,1583190.47,294841.11,0.6
